Id,Moisture,State,Action
0,1669,wet,motor off
1,1675,wet,motor off
2,1680,wet,motor off
3,1686,wet,motor off
4,1663,wet,motor off
5,1665,wet,motor off
6,1104,wet,motor off
7,1062,wet,motor off
8,4095,dry,motor on
9,1023,wet,motor off
10,959,wet,motor off
11,927,wet,motor off
12,4095,dry,motor on
13,989,wet,motor off
14,963,wet,motor off
15,944,wet,motor off
16,1127,wet,motor off
17,1035,wet,motor off
18,1062,wet,motor off
19,1130,wet,motor off
20,990,wet,motor off
21,915,wet,motor off
22,1069,wet,motor off
23,1021,wet,motor off
24,1322,wet,motor off
25,4095,dry,motor on
26,4095,dry,motor on
27,4095,dry,motor on
28,4095,dry,motor on
29,4095,dry,motor on
30,4095,dry,motor on
31,4095,dry,motor on
32,4095,dry,motor on
33,4095,dry,motor on
34,4095,dry,motor on
35,3601,dry,motor on
36,1781,wet,motor off
37,855,wet,motor off
38,895,wet,motor off
39,3162,dry,motor on
40,3119,dry,motor on
41,2189,wet,motor off
42,3071,dry,motor on
43,1155,wet,motor off
44,2163,wet,motor off
45,1449,wet,motor off
46,3099,dry,motor on
47,1059,wet,motor off
48,1045,wet,motor off
49,3101,dry,motor on
50,1940,wet,motor off
51,1190,wet,motor off
52,1195,wet,motor off
53,1200,wet,motor off
54,1193,wet,motor off
55,1215,wet,motor off
56,1274,wet,motor off
57,1088,wet,motor off
58,1142,wet,motor off
59,1162,wet,motor off
60,1185,wet,motor off
61,1185,wet,motor off
62,1199,wet,motor off
63,1200,wet,motor off
64,1205,wet,motor off
65,1197,wet,motor off
66,1198,wet,motor off
67,1183,wet,motor off
68,1195,wet,motor off
69,1207,wet,motor off
70,1214,wet,motor off
71,1222,wet,motor off
72,1220,wet,motor off
73,1218,wet,motor off
74,1213,wet,motor off
75,1189,wet,motor off
76,1183,wet,motor off
77,1205,wet,motor off
78,3105,dry,motor on
79,3066,dry,motor on
80,3070,dry,motor on
81,1843,wet,motor off
82,976,wet,motor off
83,3043,dry,motor on
84,1709,wet,motor off
85,1008,wet,motor off
86,1705,wet,motor off
87,1207,wet,motor off
88,1518,wet,motor off
89,2032,wet,motor off
90,1613,wet,motor off
91,2992,dry,motor on
92,2986,dry,motor on
93,2976,dry,motor on
94,1949,wet,motor off
95,947,wet,motor off
96,1251,wet,motor off
97,2980,dry,motor on
98,1167,wet,motor off
99,3013,dry,motor on
100,1974,wet,motor off
101,2234,wet,motor off
102,1390,wet,motor off
103,3039,dry,motor on
104,3024,dry,motor on
105,3011,dry,motor on
106,1265,wet,motor off
107,1327,wet,motor off
108,1360,wet,motor off
109,1168,wet,motor off
110,1149,wet,motor off
111,1168,wet,motor off
112,1179,wet,motor off
113,1104,wet,motor off
114,979,wet,motor off
115,1003,wet,motor off
116,1473,wet,motor off
117,1275,wet,motor off
118,1162,wet,motor off
119,1058,wet,motor off
120,1039,wet,motor off
121,1413,wet,motor off
122,1018,wet,motor off
123,954,wet,motor off
124,1013,wet,motor off
125,2933,dry,motor on
126,1831,wet,motor off
127,2550,wet,motor off
128,3067,dry,motor on
129,1391,wet,motor off
130,1040,wet,motor off
131,1274,wet,motor off
132,1101,wet,motor off
133,1072,wet,motor off
134,1095,wet,motor off
135,1093,wet,motor off
136,1141,wet,motor off
137,1200,wet,motor off
138,1197,wet,motor off
139,1093,wet,motor off
140,1103,wet,motor off
141,1002,wet,motor off
142,1518,wet,motor off
143,1018,wet,motor off
144,1090,wet,motor off
145,1803,wet,motor off
146,1982,wet,motor off
147,1574,wet,motor off
148,3146,dry,motor on
149,1269,wet,motor off
